molecular system: BT.h.03.00.cif
1990 atoms
9 atom types

  0.000000  20.670614 xlo xhi
  0.000000  18.645070 ylo yhi
  0.000000  56.742657 zlo zhi
-12.224289   0.000000   0.000000 xy xz yz

Masses

1  40.080000 # cah 
2  12.010000 # co  
3   1.007800 # h*  
4   1.007800 # ho  
5  16.000000 # o*  
6  16.000000 # ob  
7  16.000000 # oc  
8  16.000000 # oh  
9  28.086000 # st  

Atoms

     1      9  16.984207   2.209277   3.402789 # st  
     2      9  15.426807   2.899897  22.451469 # st  
     3      9   1.951877  18.452357  17.974569 # st  
     4      9  11.838207   5.508167   7.702219 # st  
     5      9  16.501007   4.520327   1.414519 # st  
     6      9   6.583077  17.409957  24.493169 # st  
     7      9  13.120207   1.658747  15.680469 # st  
     8      9  14.899807   1.330707   9.801769 # st  
     9      9  14.663007   5.974877   3.116669 # st  
    10      9  17.216307   0.315216  22.384369 # st  
    11      9  11.689107   3.339527  17.863169 # st  
    12      9  13.509207   3.048787   7.564169 # st  
    13      1  17.040207   2.720987   6.790509 # cah 
    14      1  15.498307   3.096787  18.926069 # cah 
    15      1  13.792107   0.141443  21.389869 # cah 
    16      1  11.223607   5.623827   4.378149 # cah 
    17      1  13.493307   2.616927   4.510709 # cah 
    18      1  11.950007   3.095947  20.952669 # cah 
    19      1   5.377617  18.620957  19.316169 # cah 
    20      1  15.054007   5.902447   6.525699 # cah 
    21      1   0.699183  18.345657  12.661569 # cah 
    22      6  16.672007   3.206767   2.243939 # ob  
    23      6   7.193787  16.318557  23.621069 # ob  
    24      6  13.685007   0.579023  16.558969 # ob  
    25      6  15.247607   0.029779   8.931449 # ob  
    26      6  17.952907   1.042827   3.024749 # ob  
    27      6  16.288007   1.573107  22.750469 # ob  
    28      6   2.604537  17.141257  17.445769 # ob  
    29      6  12.810807   4.339297   8.123959 # ob  
    30      6  17.765907   3.079557   4.475939 # ob  
    31      6   8.064017  16.279957  21.136469 # ob  
    32      6  15.085507   0.732342  18.828469 # ob  
    33      6  16.704207   0.205760   6.924739 # ob  
    34      6  15.683807   1.531087   3.916609 # ob  
    35      6  14.258507   2.563567  21.476069 # ob  
    36      6   0.597995  18.116357  18.731269 # ob  
    37      6  10.724307   4.881337   6.816449 # ob  
    38      8   5.659157  16.813257  25.719269 # oh  
    39      8  16.550407   4.370177  56.536469 # oh  
    40      6  14.082207   1.004787  11.033269 # ob  
    41      6  12.410407   1.282817  14.406669 # ob  
    42      6  15.214007   5.333907   1.781869 # ob  
    43      6   5.653387  18.302857  23.625969 # ob  
    44      6  12.263707   2.594917  16.566769 # ob  
    45      6  14.148307   2.259867   8.804919 # ob  
    46      6  13.644107   5.023457   3.807399 # ob  
    47      6   4.130307  18.074657  21.448269 # ob  
    48      6  10.860307   2.356537  18.730669 # ob  
    49      6  12.522007   2.092147   6.782359 # ob  
    50      6   7.467757  18.564457   4.588589 # ob  
    51      6  18.390507   0.792367  21.445869 # ob  
