molecular system: BT.h.00.00.cif
2008 atoms
9 atom types

  0.000000  20.537214 xlo xhi
  0.000000  18.582695 ylo yhi
  0.000000  57.923605 zlo zhi
  8.121283   0.000000   0.000000 xy xz yz

Masses

1  40.080000 # cah 
2  12.010000 # co  
3   1.007800 # h*  
4   1.007800 # ho  
5  16.000000 # o*  
6  16.000000 # ob  
7  16.000000 # oc  
8  16.000000 # oh  
9  28.086000 # st  

Atoms

     1      9  17.080307   1.984050   3.358623 # st  
     2      9  16.139507   3.706360  22.888743 # st  
     3      9  14.631207   0.486779  18.489643 # st  
     4      9  11.585407   5.115610   7.896863 # st  
     5      9  16.377707   4.265400   1.447233 # st  
     6      9  27.521007  18.042570  24.839843 # st  
     7      9  13.867807   2.535700  16.446443 # st  
     8      9  14.584207   0.775731   9.855143 # st  
     9      9  14.603807   5.606910   3.560853 # st  
    10      9  17.697607   1.067940  22.901943 # st  
    11      9  12.195907   4.163330  18.479743 # st  
    12      9  13.263507   2.621710   7.815983 # st  
    13      1  16.765607   2.182460   6.597243 # cah 
    14      1  15.813607   4.005250  19.741043 # cah 
    15      1  14.493907   0.661342  21.791743 # cah 
    16      1  11.364407   5.405910   4.633763 # cah 
    17      1  13.405007   2.296800   4.303543 # cah 
    18      1  12.616507   4.155080  21.822443 # cah 
    19      1  18.121307   0.799148  19.228643 # cah 
    20      1  14.793907   5.471410   6.819993 # cah 
    21      1  22.521607  17.558570  13.066243 # cah 
    22      6  16.754407   2.903930   2.131943 # ob  
    23      6   7.429717  17.015170  23.735943 # ob  
    24      6  14.116007   1.176180  17.180443 # ob  
    25      6  15.644007   0.001293   8.927273 # ob  
    26      6  17.963007   0.778133   2.933333 # ob  
    27      6  17.031007   2.456230  23.280643 # ob  
    28      6  23.674107  17.818070  18.284143 # ob  
    29      6  12.560807   3.931670   8.223633 # ob  
    30      6  17.857407   2.863230   4.411923 # ob  
    31      6   8.711847  16.841070  21.611243 # ob  
    32      6  15.513107   1.537900  19.347143 # ob  
    33      6  24.929507  18.307970   6.767223 # ob  
    34      6  15.710607   1.556160   4.059923 # ob  
    35      6  14.863507   3.195740  22.075743 # ob  
    36      6  13.439507   0.042771  19.388343 # ob  
    37      6  10.279607   4.501300   7.231863 # ob  
    38      8  26.910007  17.217570  26.050043 # oh  
    39      8  15.783107   4.204980  57.907243 # oh  
    40      6  22.010707  18.499170  10.914543 # ob  
    41      6  13.303707   2.127760  15.034543 # ob  
    42      6  15.395807   4.947200   2.377693 # ob  
    43      6  18.508607   0.508797  24.116143 # ob  
    44      6  13.036107   3.485990  17.323343 # ob  
    45      6  13.652807   1.757990   9.095073 # ob  
    46      6  13.539607   4.678720   4.244713 # ob  
    47      6  16.691507  -0.012112  22.498043 # ob  
    48      6  11.268707   3.083000  19.110143 # ob  
    49      6  12.273407   1.793670   6.885963 # ob  
    50      6  28.017007  18.559370   4.404683 # ob  
    51      6  18.741907   1.355340  21.709043 # ob  
    52      6  25.738807  16.785270  19.469043 # ob  
    53      6  14.587207   2.931660   7.068693 # ob  
    54      8  10.245207   4.655240   0.589878 # oh  
    55      4   9.939377   5.134570  57.629943 # ho  
    56      8  13.467707   0.033016  26.026143 # oh  
    57      4  22.217007  18.067370  26.628343 # ho  
    58      8  15.300507   3.342070  16.246143 # oh  
    59      4  15.984907   2.987160  15.515443 # ho  
    60      8  15.582907   1.971060  10.691143 # oh  
    61      4  15.332307   1.901640  11.710143 # ho  
    62      5  13.732707   2.547000   1.786473 # o*  
    63      3  13.687807   3.479130   1.390353 # h*  
    64      3  13.071907   1.974230   1.309333 # h*  
    65      5  13.250707   2.555390  27.275643 # o*  
    66      3  14.172907   3.046100  27.363843 # h*  
    67      3  13.535007   1.688780  26.828443 # h*  
    68      5  18.336907   0.006316  16.769643 # o*  
    69      3  26.714807  17.608470  16.615843 # h*  
    70      3  18.834607   0.444359  15.994743 # h*  
    71      5  15.223207   4.394540   9.775243 # o*  
    72      3  15.396107   3.449630  10.172843 # h*  
    73      3  16.088107   4.682600   9.347373 # h*  
    74      5  13.079107   4.308170  12.073343 # o*  
    75      3  13.728707   4.781250  12.687643 # h*  
    76      3  13.678707   4.002800  11.286643 # h*  
    77      5  24.792907  16.564170  13.344843 # o*  
    78      3  24.893007  15.690370  13.866443 # h*  
    79      3  25.735107  16.809770  13.167743 # h*  
    80      5  15.008207   1.514060  13.307543 # o*  
    81      3   6.794157   4.222680  12.302543 # h*  
    82      3   7.812607   2.964520  12.048543 # h*  
    83      5  18.067007   1.000670  11.321543 # o*  
    84      3  17.243207   1.446900  10.976343 # h*  
    85      3  26.155107  18.573870  11.172443 # h*  
    86      5  11.109707   2.258440  13.293543 # o*  
    87      3  11.929307   2.115610  13.902643 # h*  
    88      3  11.150107   1.444570  12.715143 # h*  
    89      4  27.153307  16.185470  26.036243 # ho  
    90      4  15.956407   5.037380  57.276143 # ho  
    91      9  12.997407   8.194730   3.405723 # st  
