Build from bt.06.h.cif

774 atoms
7 atom types
186 bonds
2 bond types
105 angles
2 angle types
0.0 20.205600  xlo xhi
0.0 18.628755  ylo yhi
0.0 27.987500  zlo zhi
-12.213593  0.000000  0.000000 xy xz yz

Masses

  1    28.085500  # st
  2    40.078000  # cah
  3    15.999400  # ob
  4    15.999400  # oh
  5     1.007940  # ho
  6    15.999400  # o*
  7     1.007940  # h*

Atoms

    1 105   1   2.1000  14.969978454130   2.321763778095   4.260679656941 # st
    2 106   1   2.1000  12.934379590919   5.426556208131  22.441359656941 # st
    3 107   1   2.1000  11.602378453457   2.321763778095  18.254429656941 # st
    4 108   1   2.1000   9.566779590246   5.426556208131   8.447609656941 # st
    5 109   1   2.1000  14.464666480521   4.582052667951   2.270768406941 # st
    6 110   1   2.1000  16.500265343732   1.477260237916  24.431270906941 # st
    7 111   1   2.1000  11.097066481868   4.582052667951  16.264518406941 # st
    8 112   1   2.1000  13.132665345079   1.477260237916  10.437520906941 # st
    9 113   1   2.1000  12.581893362172   5.892275072544   4.257880906941 # st
   10 114   1   2.1000  14.617492225383   2.787482642508  22.444158406941 # st
   11 115   1   2.1000   9.214293361499   5.892275072544  18.251630906941 # st
   12 116   1   2.1000  11.249892224710   2.787482642508   8.450408406941 # st
   13 117   2   1.0500  14.723644143505   2.563937587590   7.338744906941 # cah
   14 118   2   1.0500  12.688045280294   5.668730017626  19.362174906941 # cah
   15 119   2   1.0500  11.356044142832   2.563937587590  21.332494906941 # cah
   16 120   2   1.0500   9.320445279621   5.668730017626   5.368424906941 # cah
   17 121   2   1.0500  11.438123350328   2.582566342166   5.365626156941 # cah
   18 122   2   1.0500   9.402524487117   5.687358772202  21.335293656941 # cah
   19 123   2   1.0500  14.805723348981   2.582566342166  19.359376156941 # cah
   20 124   2   1.0500  12.770124485770   5.687358772202   7.341543656941 # cah
   21 125   2   1.0500  12.031122778504   2.993019902577  13.298962906941 # cah
   22 126   3  -1.0500  14.470744340117   3.104792430036   2.850949281941 # ob
   23 127   3  -1.0500   4.292750026505  18.628754576489  23.852769281941 # ob
   24 128   3  -1.0500  11.103144339443   3.104792430036  16.844699281941 # ob
   25 129   3  -1.0500   0.925150025832  18.628754576489   9.859019281941 # ob
   26 130   3  -1.0500  15.839622806569   1.099096520013   3.673781781941 # ob
   27 131   3  -1.0500  13.804023943358   4.203888950049  23.029936781941 # ob
   28 132   3  -1.0500  12.472022805895   1.099096520013  17.667531781941 # ob
