LAMMPS data file via write_data, version 2 Aug 2023, timestep = 2000, units = metal

2008 atoms
9 atom types

0.13731963784157486 20.399894362158484 xlo xhi
-0.032658024270423525 18.615353024270405 ylo yhi
-0.20666603505442538 58.13027103505442 zlo zhi
8.214583145026424 0.30669220656932294 0.5842527583025502 xy xz yz

Masses

1 40.08
2 12.01
3 1.0078
4 1.0078
5 16
6 16
7 16
8 16
9 28.086

Atoms # atomic

271 9 3.615696796201507 2.030809797677776 4.191227342589616 0 0 0
275 9 3.150144113087871 4.1862586598541816 2.0156040974647653 0 0 0
292 6 3.2644879926835846 2.792235524276501 2.763506748346732 0 0 0
296 6 4.3241534345107935 0.6804868378768841 3.446752225024477 0 0 0
304 6 2.3808299218639517 1.4877139278657205 5.032689063803295 0 0 0
309 8 3.270341415591007 3.6247121960490043 0.3404040844451164 0 0 1
1615 3 2.961720735481426 1.3016945505387345 1.2824005241918133 0 0 1
1617 5 2.8986930352654934 0.46071579507700455 0.7785164862819081 0 0 1
545 9 8.876529403306218 3.6412737853673063 1.686473771508498 0 0 0
557 1 6.903734927117639 2.2308851394186395 5.018586497271338 0 0 0
574 6 9.144793767496072 1.316077787689486 4.97752288849782 0 0 0
579 8 7.426547763602853 3.466925697547219 0.8867932656495332 0 0 0
602 5 6.494972967771425 1.5515197980065518 2.43164388502847 0 0 0
603 3 7.137356479845831 0.8626710346660286 2.3298722499518796 0 0 0
604 3 5.5820341125105815 1.2078351318210714 2.470096628349305 0 0 0
630 4 6.906962589245659 2.8120484994628634 1.3844236402128665 0 0 0
62 5 13.607713062591058 2.2754648731130933 2.2311421085954213 0 0 0
63 3 13.196129563908661 3.123763604158572 2.0759219785754963 0 0 0
64 3 12.978588828883012 1.7238443692328442 1.6281342766221512 0 0 0
541 9 10.203126592854916 1.8972828427522779 3.897452861497854 0 0 0
562 6 9.094808943305704 2.3744144883434224 2.675687647358848 0 0 0
566 6 11.189570184644246 0.639274788453306 3.353911455619524 0 0 0
570 6 10.998225168658683 3.1443175966010175 4.474972075669564 0 0 0
1324 3 11.712117205910932 0.4098584960230499 1.4224929127489678 0 0 0
1326 5 11.943869214974567 1.0651131392619497 0.6576821784506014 0 0 0
1325 3 11.32245553351705 1.8120558783697451 0.7171033377091401 0 0 1
1 9 17.081446657789048 1.8072292765058757 3.8066999979406457 0 0 0
5 9 16.546941526920243 4.038305293739049 1.8034140885898067 0 0 0
22 6 16.433917500051272 2.670092443676922 2.5692028918204817 0 0 0
26 6 17.643794785088126 0.4236470245198485 3.088600002370309 0 0 0
967 3 15.81746518300137 0.11805085836935994 0.42343069114315013 0 0 0
39 8 16.57212139327456 3.758949388771662 0.18133806336332492 0 0 1
968 3 16.086471410734106 1.6559786745240366 0.3565589313535975 0 0 1
1483 3 18.972508487964713 0.2886002379977266 0.7197629816132275 0 0 1
1484 3 18.28923632551599 1.23849513236213 57.99699484311038 0 0 0
333 3 19.34809428968442 2.8955379885551418 2.162453757727355 0 0 1
332 5 20.24808560638185 2.4798405009359947 2.2478590585870153 0 0 1
334 3 20.80029187838437 3.21468454820979 2.019449489120439 0 0 1
594 8 4.22641007039192 5.272605386305557 2.583214910511772 0 0 0
595 4 3.774114168089453 6.154940518470377 2.609004972037683 0 0 0
586 6 7.044644200632545 4.465045441611666 4.431763624621633 0 0 0
152 5 9.380467025409123 8.739933537438752 2.890715495181616 0 0 0
153 3 8.868946335911875 8.160224635564445 2.2534579766276286 0 0 0
549 9 8.04991527319553 5.60393124578213 3.860436778530529 0 0 0
582 6 8.92444614029179 5.098831009861753 2.4268969776550797 0 0 0
631 9 6.422533236436387 8.248947268141924 3.860789435447872 0 0 0
652 6 6.0605765616302705 9.190713242094663 2.5515837433156148 0 0 0
656 6 7.228682321278626 6.930876949270858 3.171287784781228 0 0 0
660 6 7.267988368337741 9.084500018342899 5.0044538150660545 0 0 0
664 6 5.073282051669396 7.831428416310832 4.649321643717758 0 0 0
680 6 9.227242290632782 6.172884138449033 4.899863414497234 0 0 0
1322 3 6.360049871865713 5.391984997603229 0.5204810612384309 0 0 0
154 3 10.308580684223744 8.735954786459441 2.602246658631817 0 0 0
1286 3 7.831851335550931 7.118839390624414 0.49196567947233605 0 0 1
1287 5 8.708919962540893 7.57113780689767 0.3290742553798284 0 0 1
1323 5 6.691495720323472 6.60257262673188 58.11237708196833 0 0 0
16 1 11.431291839679092 5.3130429991221595 4.961936718587158 0 0 0
54 8 10.143573841325173 3.7146307467368636 0.625268506231745 0 0 0
91 9 13.00641126535552 8.055619330806874 3.705888904414385 0 0 0
112 6 12.498689203379447 8.885729004992285 2.2675002114132417 0 0 0
116 6 13.844896190604315 6.807824140197859 3.0584434374320715 0 0 0
124 6 11.804799160266773 7.58737093794508 4.594165710731793 0 0 0
1981 3 13.344110483231571 5.838007118037541 1.3074881308482929 0 0 0
1982 3 12.917898385594942 4.772797754354081 0.4266131932903243 0 0 0
1983 5 12.576110787067222 5.577619175072875 0.7831599754321584 0 0 0
9 9 14.77063088710078 5.498801052508212 3.7075354405924346 0 0 0
42 6 15.19817235593633 4.927839545176791 2.298385481563225 0 0 0
324 8 17.849734444658512 4.885528151729171 2.271529373189232 0 0 0
325 4 18.17664834030088 5.576053037194093 1.6187690162762611 0 0 0
422 5 16.113257208498386 8.21138513474089 1.9279637336094457 0 0 0
423 3 16.095852095525274 7.312234765584791 1.618442618201032 0 0 0
424 3 15.251122021247005 8.648339604517382 1.694188928237291 0 0 0
279 9 21.488273474809287 5.58706558522725 3.727387001036606 0 0 0
312 6 21.982712313676128 4.958772574889561 2.224435362124904 0 0 0
361 9 19.82730519167521 8.235487266104228 3.7189762755579343 0 0 0
382 6 19.48517244738726 8.805866246309247 2.1262598141313727 0 0 0
386 6 20.542806118732994 6.8326954150770876 3.236880791341555 0 0 0
390 6 20.793689018463887 9.272758141617063 4.5843103643795535 0 0 0
692 5 23.29664163597843 8.797893640383412 2.6589892880216777 0 0 0
693 3 22.67124607341194 8.49477471620534 1.9030125485549068 0 0 0
1555 3 21.50683621116369 7.030645204121628 0.5199795707491737 0 0 1
1557 5 22.149464086418305 7.70444795559837 0.26304580655991555 0 0 1
694 3 24.17535186813287 8.823809947675688 2.2423109813852644 -1 0 0
669 8 5.884670965562926 10.772408347366259 0.5868839838076134 0 0 0
144 8 7.397740767658622 11.466533384541858 2.775337546030233 0 0 0
145 4 8.354980333226957 11.184414379005982 2.5746884596745314 0 0 0
635 9 6.0595972504083475 10.770971305515575 2.290926852636661 0 0 0
1043 3 8.372914073751701 12.40948031274426 0.10873343214108061 0 0 0
720 4 6.819496518656546 10.705207750974711 0.27030691602932705 1 0 1
1044 5 7.864895190450347 13.239681365374853 -0.06014591282452489 1 0 1
95 9 12.439039071225569 10.430871744701046 1.845654790567382 0 0 0
99 9 10.699145333164246 11.75596436716148 3.8608559789070673 0 0 0
129 8 12.468727662995157 10.607196183495606 0.15829665199788218 0 0 0
132 6 11.03878655963777 11.079809520607478 2.3825740955490033 0 0 0
206 6 9.873860668661301 13.033146577000515 3.2587297055554205 0 0 0
414 8 13.812852502563967 11.180536982467448 2.386445825644164 0 0 0
415 4 14.23863252628729 11.825059238898982 1.7632329337069454 0 0 0
514 3 12.040688040847707 13.562171702576808 2.04114154599082 0 0 0
1491 5 14.880022480315828 12.986450556126293 0.8273966217180222 0 0 1
450 4 16.90675346769745 9.622283705404765 0.6960533208170812 0 0 0
365 9 18.81843720529681 10.202742546083455 1.5575551134517254 0 0 0
369 9 17.42843624375939 11.760817224430712 3.9637022609873434 0 0 0
402 6 18.293260964526766 11.164936398478526 2.7008731796345664 0 0 0
406 6 16.469899883664866 10.720231960080243 4.765676999720268 0 0 0
476 6 16.660449069880695 13.065986375476992 3.3740252977275484 0 0 0
1354 3 18.416640855916306 13.774200739723774 2.570887228111393 0 0 0
1763 3 14.031443335585854 10.540334688896145 57.45924709755874 0 0 0
399 8 17.639146003729323 10.135523723201976 0.3341301244946028 0 0 1
684 8 20.12329800541449 11.057192560894855 0.847118448407457 0 0 0
685 4 19.885757845956988 11.965460633465307 0.5567874072474354 0 0 0
746 6 23.73013210039846 13.478052777493588 3.816988362250667 0 0 0
639 9 24.34412199024522 12.086747373245872 4.3194972168544306 0 0 0
672 6 25.02250097103911 11.387950474527898 2.9585163429965555 0 0 0
181 9 9.056731353803059 14.323764102179137 3.8754086741825455 0 0 0
185 9 8.679077691678398 16.61397256697967 1.9982065719633675 0 0 0
202 6 8.471322189142029 15.112286461171147 2.5503601647761593 0 0 0
219 8 8.690339177739551 16.22105602368694 0.38700694287055626 0 0 0
512 5 12.529633100665386 14.336385356998148 2.2957898015549034 0 0 0
513 3 12.21011029430637 14.91357521908906 1.5111203840427054 0 0 0
210 6 10.085065522510028 15.206308186577338 4.80762120343277 0 0 0
459 9 13.189533564748134 17.92143970446744 4.171323136447263 0 0 0
492 6 13.829895834827795 17.099113194637262 2.819142720236773 0 0 0
